source_event_id,case_id,activity,from_ts,to_ts,resource,depot,area,equipment_id,equipment_type,cost_amount,priority
EVT-0000068,WO-2026-00009,Repair Completed,2026-05-23 06:01:00,2026-05-23 06:59:00,T-101,North Depot,C-Workshop,EQ-1096,Generator,2318.64,
EVT-0000069,WO-2026-00009,Tested,2026-05-23 07:16:00,2026-05-23 07:34:00,T-101,North Depot,C-Workshop,EQ-1096,Generator,1588.11,High
EVT-0000070,WO-2026-00009,Returned to Service,2026-05-23 09:16:00,2026-05-23 10:14:00,T-101,North Depot,C-Workshop,EQ-1096,Generator,280.65,Low
EVT-0000071,WO-2026-00010,Fault Reported,2026-04-29 20:41:00,2026-04-29 23:01:00,T-302,Central Depot,S-Field,EQ-1672,Compressor,1365.25,
EVT-0000072,WO-2026-00010,Triaged,2026-04-29 23:50:00,2026-04-30 02:46:00,T-302,Central Depot,S-Field,EQ-1672,Compressor,120.85,Medium
EVT-0000073,WO-2026-00010,Triaged,2026-04-30 03:45:00,2026-04-30 06:37:00,T-302,Central Depot,S-Field,EQ-1672,Compressor,837.74,High
EVT-0000074,WO-2026-00010,Parts Ordered,2026-05-02 07:45:00,2026-05-02 08:09:00,T-302,Central Depot,S-Field,EQ-1672,Compressor,,High
EVT-0000075,WO-2026-00010,Parts Received,2026-05-02 08:48:00,2026-05-02 11:39:00,T-302,Central Depot,S-Field,EQ-1672,Compressor,2005.45,Medium
EVT-0000076,WO-2026-00010,Repair Started,2026-05-02 12:48:00,2026-05-02 13:39:00,T-302,Central Depot,S-Field,EQ-1672,Compressor,1472.07,
EVT-0000077,WO-2026-00010,Repair Completed,2026-05-02 18:48:00,2026-05-02 19:01:00,T-302,Central Depot,S-Field,EQ-1672,Compressor,825.97,
EVT-0000078,WO-2026-00010,Tested,2026-05-02 19:40:00,2026-05-02 19:47:00,T-302,Central Depot,S-Field,EQ-1672,Compressor,2501.43,High
EVT-0000079,WO-2026-00010,Returned to Service,2026-05-02 20:51:00,2026-05-02 21:54:00,T-102,North Depot,S-Field,EQ-1672,Compressor,802.09,
EVT-0000080,WO-2026-00011,Fault Reported,2026-01-30 19:30:00,2026-01-30 22:13:00,T-102,North Depot,N-Bay-1,EQ-1623,Pump,1331.43,Low
EVT-0000081,WO-2026-00011,Triaged,2026-01-30 22:48:00,2026-01-30 22:57:00,T-102,North Depot,N-Bay-1,EQ-1623,Pump,,High
EVT-0000082,WO-2026-00011,Parts Ordered,2026-02-02 14:48:00,2026-02-02 15:11:00,T-102,North Depot,N-Bay-1,EQ-1623,Pump,711.66,High
EVT-0000083,WO-2026-00011,Parts Received,2026-02-02 15:57:00,2026-02-02 16:54:00,T-102,North Depot,N-Bay-1,EQ-1623,Pump,561.46,
EVT-0000084,WO-2026-00011,Repair Started,2026-02-03 01:57:00,2026-02-03 04:39:00,T-202,Central Depot,N-Bay-1,EQ-1623,Pump,967.38,
EVT-0000085,WO-2026-00011,Repair Completed,2026-02-03 10:57:00,2026-02-03 11:55:00,T-202,Central Depot,N-Bay-1,EQ-1623,Pump,,
,WO-2026-00011,Tested,2026-02-03 12:39:00,2026-02-03 15:02:00,T-302,South Depot,N-Bay-1,EQ-1623,Pump,487.11,
,WO-2026-00011,Returned to Service,2026-02-03 14:15:00,2026-02-03 17:03:00,T-302,South Depot,N-Bay-1,EQ-1623,Pump,1469.06,High
EVT-0000088,WO-2026-00012,Fault Reported,2026-04-29 06:38:00,2026-04-29 08:00:00,T-102,North Depot,N-Bay-2,EQ-1849,Conveyor,2498.92,High
EVT-0000089,WO-2026-00012,Triaged,2026-04-29 07:08:00,2026-04-29 09:05:00,T-102,North Depot,N-Bay-2,EQ-1849,Conveyor,2354.19,High
EVT-0000090,WO-2026-00012,Parts Ordered,2026-04-30 23:08:00,2026-04-30 23:30:00,T-102,North Depot,N-Bay-2,EQ-1849,Conveyor,,High
EVT-0000091,WO-2026-00012,Parts Received,2026-05-01 02:02:00,2026-05-01 04:37:00,T-102,North Depot,N-Bay-2,EQ-1849,Conveyor,2220.02,
EVT-0000092,WO-2026-00012,Repair Started,2026-05-01 12:02:00,2026-05-01 12:46:00,T-102,North Depot,N-Bay-2,EQ-1849,Conveyor,,High
,WO-2026-00012,Repair Completed,2026-05-02 00:02:00,2026-05-02 02:45:00,T-202,South Depot,N-Bay-2,EQ-1849,Conveyor,1693.60,Medium
EVT-0000094,WO-2026-00012,Tested,2026-05-02 01:30:00,2026-05-02 02:45:00,T-101,North Depot,N-Bay-2,EQ-1849,Conveyor,1898.51,Low
EVT-0000095,WO-2026-00012,Returned to Service,2026-05-02 03:34:00,2026-05-02 05:25:00,T-101,North Depot,N-Bay-2,EQ-1849,Conveyor,,Low
EVT-0000096,WO-2026-00013,Fault Reported,2026-04-26 23:37:00,2026-04-27 01:57:00,T-102,North Depot,N-Bay-2,EQ-1295,Compressor,1747.78,Medium
EVT-0000097,WO-2026-00013,Triaged,2026-04-27 01:29:00,2026-04-27 03:59:00,T-102,North Depot,N-Bay-2,EQ-1295,Compressor,839.75,Medium
EVT-0000098,WO-2026-00013,Parts Ordered,2026-04-28 23:29:00,2026-04-29 00:24:00,T-102,North Depot,N-Bay-2,EQ-1295,Compressor,127.24,
EVT-0000099,WO-2026-00013,Parts Received,2026-04-29 03:23:00,2026-04-29 05:43:00,T-102,North Depot,N-Bay-2,EQ-1295,Compressor,1582.37,Medium
EVT-0000100,WO-2026-00013,Repair Started,2026-04-29 14:23:00,2026-04-29 16:29:00,T-102,North Depot,N-Bay-2,EQ-1295,Compressor,1930.10,Low
EVT-0000101,WO-2026-00013,Repair Completed,2026-04-29 17:23:00,2026-04-29 20:20:00,T-102,North Depot,N-Bay-2,EQ-1295,Compressor,1446.67,Medium
EVT-0000102,WO-2026-00013,Tested,2026-04-29 18:46:00,2026-04-29 20:16:00,T-102,North Depot,N-Bay-2,EQ-1295,Compressor,932.35,Medium
EVT-0000103,WO-2026-00013,Returned to Service,2026-04-29 21:51:00,2026-04-30 00:30:00,T-102,North Depot,N-Bay-2,EQ-1295,Compressor,1803.22,High
EVT-0000104,WO-2026-00014,Fault Reported,2026-01-06 13:27:00,2026-01-06 13:43:00,T-102,North Depot,C-Bay-1,EQ-1474,Pump,588.18,Medium
EVT-0000105,WO-2026-00014,Triaged,2026-01-06 14:25:00,2026-01-06 15:59:00,T-102,North Depot,C-Bay-1,EQ-1474,Pump,645.73,High
EVT-0000106,WO-2026-00014,Parts Ordered,2026-01-07 10:25:00,2026-01-07 10:32:00,T-102,North Depot,C-Bay-1,EQ-1474,Pump,636.64,Low
EVT-0000107,WO-2026-00014,Parts Received,2026-01-07 13:32:00,2026-01-07 14:24:00,T-102,North Depot,C-Bay-1,EQ-1474,Pump,57.43,Low
EVT-0000108,WO-2026-00014,Repair Started,2026-01-07 16:32:00,2026-01-07 17:56:00,T-102,North Depot,C-Bay-1,EQ-1474,Pump,2108.42,High
EVT-0000109,WO-2026-00014,Repair Completed,2026-01-07 20:32:00,2026-01-07 21:57:00,T-102,North Depot,C-Bay-1,EQ-1474,Pump,280.73,
EVT-0000110,WO-2026-00014,Tested,2026-01-07 22:21:00,2026-01-07 23:16:00,T-102,North Depot,C-Bay-1,EQ-1474,Pump,1336.15,Low
EVT-0000111,WO-2026-00014,Returned to Service,2026-01-08 00:15:00,2026-01-08 01:42:00,T-102,North Depot,C-Bay-1,EQ-1474,Pump,2517.54,
,WO-2026-00015,Fault Reported,2026-04-18 17:14:00,2026-04-18 17:52:00,T-301,South Depot,N-Bay-1,EQ-1761,Generator,130.42,Low
,WO-2026-00015,Triaged,2026-04-18 17:36:00,2026-04-18 18:51:00,T-301,South Depot,N-Bay-1,EQ-1761,Generator,1624.38,
,WO-2026-00015,Parts Ordered,2026-04-21 20:36:00,2026-04-21 20:50:00,T-301,South Depot,N-Bay-1,EQ-1761,Generator,2369.06,Medium
,WO-2026-00015,Parts Received,2026-04-21 22:50:00,2026-04-22 00:42:00,T-301,South Depot,N-Bay-1,EQ-1761,Generator,1949.69,High
,WO-2026-00015,Repair Started,2026-04-22 06:50:00,2026-04-22 09:11:00,T-301,South Depot,N-Bay-1,EQ-1761,Generator,,Medium
,WO-2026-00015,Repair Completed,2026-04-22 15:50:00,2026-04-22 17:10:00,T-301,South Depot,N-Bay-1,EQ-1761,Generator,93.18,
,WO-2026-00015,Tested,2026-04-22 19:00:00,2026-04-22 20:18:00,T-301,South Depot,N-Bay-1,EQ-1761,Generator,982.33,High
,WO-2026-00015,Repair Started,2026-04-23 03:00:00,2026-04-23 03:59:00,T-301,South Depot,N-Bay-1,EQ-1761,Generator,2339.89,Medium
,WO-2026-00015,Repair Completed,2026-04-23 08:00:00,2026-04-23 08:57:00,T-301,South Depot,N-Bay-1,EQ-1761,Generator,1971.74,High
,WO-2026-00015,Tested,2026-04-23 10:28:00,2026-04-23 12:34:00,T-301,South Depot,N-Bay-1,EQ-1761,Generator,507.85,High
,WO-2026-00015,Returned to Service,2026-04-23 11:27:00,2026-04-23 12:27:00,T-301,South Depot,N-Bay-1,EQ-1761,Generator,785.39,High
EVT-0000123,WO-2026-00016,Fault Reported,2026-03-12 09:52:00,2026-03-12 12:29:00,T-102,North Depot,S-Field,EQ-1246,Valve Assembly,2254.40,High
,WO-2026-00016,Triaged,2026-03-12 11:56:00,2026-03-12 14:35:00,T-302,South Depot,S-Field,EQ-1246,Valve Assembly,1958.32,
,WO-2026-00016,Parts Ordered,2026-03-16 03:56:00,2026-03-16 06:03:00,T-302,South Depot,S-Field,EQ-1246,Valve Assembly,,Low
,WO-2026-00016,Parts Received,2026-03-16 07:09:00,2026-03-16 09:42:00,T-302,South Depot,S-Field,EQ-1246,Valve Assembly,1011.21,High
,WO-2026-00016,Repair Started,2026-03-16 09:09:00,2026-03-16 09:17:00,T-302,South Depot,S-Field,EQ-1246,Valve Assembly,1065.38,
,WO-2026-00016,Repair Completed,2026-03-16 17:09:00,2026-03-16 18:43:00,T-302,South Depot,S-Field,EQ-1246,Valve Assembly,849.58,High
,WO-2026-00016,Tested,2026-03-16 18:46:00,2026-03-16 21:15:00,T-302,South Depot,S-Field,EQ-1246,Valve Assembly,594.94,Medium
,WO-2026-00016,Repair Started,2026-03-17 04:46:00,2026-03-17 06:39:00,T-302,South Depot,S-Field,EQ-1246,Valve Assembly,,Low
EVT-0000131,WO-2026-00016,Repair Completed,2026-03-17 10:46:00,2026-03-17 11:58:00,T-102,North Depot,S-Field,EQ-1246,Valve Assembly,2506.09,
EVT-0000132,WO-2026-00016,Tested,2026-03-17 12:52:00,2026-03-17 13:54:00,T-102,North Depot,S-Field,EQ-1246,Valve Assembly,2104.74,Low
EVT-0000133,WO-2026-00016,Returned to Service,2026-03-17 13:46:00,2026-03-17 14:31:00,T-102,North Depot,S-Field,EQ-1246,Valve Assembly,,High
EVT-0000134,WO-2026-00017,Fault Reported,2026-04-12 10:40:00,2026-04-12 12:07:00,T-302,Central Depot,C-Bay-2,EQ-1527,Conveyor,,High
EVT-0000135,WO-2026-00017,Triaged,2026-04-12 14:22:00,2026-04-12 16:25:00,T-302,Central Depot,C-Bay-2,EQ-1527,Conveyor,2136.36,Medium
EVT-0000136,WO-2026-00017,Parts Ordered,2026-04-12 14:22:00,2026-04-12 14:46:00,T-302,Central Depot,C-Bay-2,EQ-1527,Conveyor,2134.32,Low
EVT-0000137,WO-2026-00017,Parts Received,2026-04-12 17:47:00,2026-04-12 20:12:00,T-302,Central Depot,C-Bay-2,EQ-1527,Conveyor,1442.76,
EVT-0000138,WO-2026-00017,Repair Started,2026-04-13 03:47:00,2026-04-13 05:15:00,T-302,Central Depot,C-Bay-2,EQ-1527,Conveyor,1473.84,
EVT-0000139,WO-2026-00017,Repair Completed,2026-04-13 09:47:00,2026-04-13 11:48:00,T-302,Central Depot,C-Bay-2,EQ-1527,Conveyor,1725.09,
EVT-0000140,WO-2026-00017,Tested,2026-04-13 12:02:00,2026-04-13 14:47:00,T-302,Central Depot,C-Bay-2,EQ-1527,Conveyor,,Low
EVT-0000141,WO-2026-00017,Returned to Service,2026-04-13 14:00:00,2026-04-13 15:01:00,T-302,Central Depot,C-Bay-2,EQ-1527,Conveyor,1925.04,Low
EVT-0000142,WO-2026-00018,Fault Reported,2026-03-06 14:14:00,2026-03-06 15:16:00,T-101,North Depot,C-Field,EQ-1349,Conveyor,105.50,Low
,WO-2026-00018,Triaged,2026-03-06 14:32:00,2026-03-06 16:02:00,T-301,South Depot,C-Field,EQ-1349,Conveyor,,Medium
,WO-2026-00018,Parts Ordered,2026-03-09 05:32:00,2026-03-09 06:35:00,T-301,South Depot,C-Field,EQ-1349,Conveyor,386.14,High
,WO-2026-00018,Parts Received,2026-03-09 07:30:00,2026-03-09 08:05:00,T-301,South Depot,C-Field,EQ-1349,Conveyor,,Low
,WO-2026-00018,Repair Started,2026-03-09 18:30:00,2026-03-09 19:58:00,T-302,South Depot,C-Field,EQ-1349,Conveyor,1734.31,Low
,WO-2026-00018,Repair Completed,2026-03-10 00:30:00,2026-03-10 02:17:00,T-302,South Depot,C-Field,EQ-1349,Conveyor,1585.93,Low
,WO-2026-00018,Tested,2026-03-10 03:39:00,2026-03-10 05:02:00,T-302,South Depot,C-Field,EQ-1349,Conveyor,,
,WO-2026-00018,Repair Started,2026-03-10 09:39:00,2026-03-10 10:47:00,T-302,South Depot,C-Field,EQ-1349,Conveyor,290.99,Medium
EVT-0000150,WO-2026-00018,Repair Completed,2026-03-10 10:39:00,2026-03-10 11:49:00,T-102,North Depot,C-Field,EQ-1349,Conveyor,2091.10,Low
EVT-0000151,WO-2026-00018,Tested,2026-03-10 11:25:00,2026-03-10 11:47:00,T-102,North Depot,C-Field,EQ-1349,Conveyor,308.55,Medium
EVT-0000152,WO-2026-00018,Returned to Service,2026-03-10 12:02:00,2026-03-10 14:32:00,T-102,North Depot,C-Field,EQ-1349,Conveyor,,Medium
,WO-2026-00019,Fault Reported,2026-03-25 01:12:00,2026-03-25 02:22:00,T-301,South Depot,C-Field,EQ-1459,Pump,,Medium
,WO-2026-00019,Triaged,2026-03-25 01:47:00,2026-03-25 03:11:00,T-301,South Depot,C-Field,EQ-1459,Pump,748.03,Medium
,WO-2026-00019,Parts Ordered,2026-03-26 20:47:00,2026-03-26 22:10:00,T-301,South Depot,C-Field,EQ-1459,Pump,2279.24,High
,WO-2026-00019,Parts Received,2026-03-26 23:58:00,2026-03-27 00:25:00,T-301,South Depot,C-Field,EQ-1459,Pump,,High
,WO-2026-00019,Repair Started,2026-03-27 02:58:00,2026-03-27 04:06:00,T-301,South Depot,C-Field,EQ-1459,Pump,1699.46,High
,WO-2026-00019,Repair Completed,2026-03-27 04:58:00,2026-03-27 06:04:00,T-301,South Depot,C-Field,EQ-1459,Pump,2288.34,
,WO-2026-00019,Tested,2026-03-27 08:26:00,2026-03-27 09:39:00,T-301,South Depot,C-Field,EQ-1459,Pump,241.94,Medium
,WO-2026-00019,Returned to Service,2026-03-27 10:56:00,2026-03-27 13:12:00,T-301,South Depot,C-Field,EQ-1459,Pump,2390.13,Low
EVT-0000161,WO-2026-00020,Fault Reported,2026-03-08 18:36:00,2026-03-08 19:12:00,T-101,North Depot,C-Bay-2,EQ-1673,Pump,2175.93,
EVT-0000162,WO-2026-00020,Triaged,2026-03-08 21:37:00,2026-03-08 23:24:00,T-101,North Depot,C-Bay-2,EQ-1673,Pump,836.48,
EVT-0000163,WO-2026-00020,Parts Ordered,2026-03-10 16:37:00,2026-03-10 18:06:00,T-101,North Depot,C-Bay-2,EQ-1673,Pump,1080.02,
EVT-0000164,WO-2026-00020,Parts Received,2026-03-10 18:14:00,2026-03-10 20:56:00,T-101,North Depot,C-Bay-2,EQ-1673,Pump,1063.68,
EVT-0000165,WO-2026-00020,Repair Started,2026-03-11 00:14:00,2026-03-11 01:12:00,T-101,North Depot,C-Bay-2,EQ-1673,Pump,1637.21,High
,WO-2026-00020,Repair Completed,2026-03-11 06:14:00,2026-03-11 06:31:00,T-302,South Depot,C-Bay-2,EQ-1673,Pump,834.28,
,WO-2026-00020,Tested,2026-03-11 08:35:00,2026-03-11 10:39:00,T-302,South Depot,C-Bay-2,EQ-1673,Pump,,
,WO-2026-00020,Returned to Service,2026-03-11 12:25:00,2026-03-11 13:08:00,T-302,South Depot,C-Bay-2,EQ-1673,Pump,532.89,Medium
EVT-0000169,WO-2026-00021,Fault Reported,2026-05-20 23:29:00,2026-05-21 00:35:00,T-101,North Depot,N-Bay-2,EQ-1631,Pump,602.28,
EVT-0000170,WO-2026-00021,Triaged,2026-05-21 01:08:00,2026-05-21 03:45:00,T-101,North Depot,N-Bay-2,EQ-1631,Pump,1691.07,Medium
